File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,function(),14,13,6,5,1,0,0,0,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,"function(close, allowEmpty, allowTrailingComma)",25,24,19,7,1,0,0,0,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,function(param),2,2,1,1,0,0,0,0,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,"function(startPos, startLoc, left)",7,7,6,2,0,0,0,0,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,"function(expr, bindingType, checkClashes)",68,56,26,19,11,0,1,5,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,"function(prop, propHash, refDestructuringErrors)",43,42,26,11,0,0,1,8,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,"function(noIn, refDestructuringErrors)",12,11,8,4,1,0,0,0,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,"function(noIn, refDestructuringErrors, afterLeftParse)",34,32,27,11,2,1,0,7,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,"function(noIn, refDestructuringErrors)",13,13,10,4,0,0,0,0,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,"function(noIn, refDestructuringErrors)",5,5,4,2,0,0,0,0,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,"function(left, leftStartPos, leftStartLoc, minPrec, noIn)",14,14,10,4,0,0,0,0,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,"function(startPos, startLoc, left, right, op, logical)",6,6,5,1,0,0,0,0,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,"function(refDestructuringErrors, sawUnary)",38,36,30,5,2,0,0,0,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,function(refDestructuringErrors),11,11,9,5,0,0,0,0,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,"function(base, startPos, startLoc, noCalls)",41,40,35,6,1,0,0,0,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,function(refDestructuringErrors),92,73,35,25,13,0,6,18,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,function(value),6,6,5,1,0,0,0,0,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,function(),5,5,4,1,0,0,0,0,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,function(canBeArrow),61,55,44,14,6,0,0,0,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,function(item),2,2,1,1,0,0,0,0,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,"function(startPos, startLoc, exprList)",2,2,1,1,0,0,0,0,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,function(),18,18,13,6,0,0,0,0,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,function(ref),21,20,13,3,1,0,0,0,
