Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\math\clz32,4,31,22,17,5,8,0,1,2,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\math\cosh,4,35,26,21,8,9,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\math\expm1,4,40,28,23,10,11,0,1,2,1,2
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\math\fround,4,59,43,36,13,14,0,2,5,2,5
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\math\hypot,4,67,54,42,19,11,1,2,8,1,4
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\math\imul,4,41,25,17,5,11,0,5,29,3,7
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\math\log10,4,38,28,23,10,10,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\math\log1p,4,41,29,24,11,11,0,1,2,1,2
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\math\log2,4,38,28,23,10,10,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\math\sign,4,31,23,18,6,8,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\math\sinh,4,42,30,22,9,10,0,2,9,2,9
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\math\tanh,4,41,32,27,11,9,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\math\trunc,4,37,28,23,10,9,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\number,33,273,192,139,36,78,1,3,8,1,2
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\number\#,2,22,15,11,1,7,1,0,2,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\number\epsilon,3,19,13,10,2,6,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\number\is-finite,4,29,21,16,5,8,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\number\is-integer,4,32,22,17,6,9,0,1,2,1,2
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\number\is-nan,4,30,21,17,5,8,0,1,2,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\number\is-safe-integer,4,36,26,18,6,10,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\number\max-safe-integer,3,19,13,10,2,6,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\number\min-safe-integer,3,19,13,10,2,6,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\object,75,1270,997,755,208,253,17,20,139,10,47
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\object\assign,4,49,40,34,8,9,1,0,2,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\object\keys,4,36,26,20,5,10,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\object\set-prototype-of,4,112,90,72,20,19,2,3,19,3,13
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\promise,4,72,57,43,4,13,0,2,10,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\promise\#,2,26,20,14,0,5,0,1,8,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\reg-exp,27,243,160,125,30,72,0,11,46,3,6
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\reg-exp\#,23,205,137,105,26,60,0,8,40,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\reg-exp\#\match,4,33,23,18,5,10,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\reg-exp\#\replace,4,33,23,18,5,10,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\reg-exp\#\search,4,33,23,18,5,10,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\reg-exp\#\split,4,33,23,18,5,10,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\reg-exp\#\sticky,2,21,12,10,2,5,0,4,20,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\reg-exp\#\unicode,2,21,12,10,2,5,0,4,20,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\string,55,8208,7978,1018,168,189,13,41,189,23,77
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\string\#,42,7996,7812,903,134,150,9,34,171,18,71
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\string\#\@@iterator,4,38,28,25,10,10,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\string\#\code-point-at,4,52,34,25,9,13,0,5,16,2,6
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\string\#\contains,4,33,23,17,5,10,1,0,2,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\string\#\ends-with,4,44,34,22,5,10,1,0,2,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\string\#\normalize,5,7547,7491,666,68,40,1,16,72,11,54
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\string\#\repeat,4,50,34,26,10,12,0,4,7,3,5
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\string\#\starts-with,4,39,28,19,5,11,1,0,2,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\string\from-code-point,4,61,43,30,9,11,1,7,12,5,6
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\string\raw,4,40,31,24,7,9,1,0,2,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\test,396,5471,4313,4304,84,1114,17,44,220,23,69
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\test\array,93,1323,1036,1007,20,278,2,9,50,5,19
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\test\array\#,77,935,714,743,8,219,2,2,10,1,3
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\test\array\#\@@iterator,4,28,19,23,0,9,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\test\array\#\concat,4,45,29,27,0,16,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\test\array\#\copy-within,4,48,35,37,0,13,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\test\array\#\entries,4,28,19,23,0,9,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\test\array\#\fill,4,37,24,21,0,12,0,1,3,1,3
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\test\array\#\filter,4,36,22,23,0,14,0,0,0,0,0
